tanggal,peristiwa,jenis,keterangan,rujukan
2002-01-01,"Inpres 2/2002: pengendalian penambangan pasir laut (era Megawati)",aturan-larangan,"Titik awal pengetatan; hanya tahun yang terverifikasi",walhisulsel.or.id (artikel 5 Jun 2023)
2003-02-28,"Kepmenperindag 117/MPP/Kep/2/2003: penghentian sementara ekspor pasir laut",aturan-larangan,"Larangan ekspor bertahan sekitar 20 tahun",idntimes.com (29 Mei 2023); liputan6.com (29 Mei 2023)
2007-01-01,"Permendag 2/2007: larangan ekspor pasir laut",aturan-larangan,"Penegasan larangan; hanya tahun yang terverifikasi",mcpr.komitmen.org (22 Feb 2025)
2014-01-01,"UU 32/2014 tentang Kelautan disahkan; Pasal 56 jadi rujukan",undang-undang,"Belakangan dipakai MA untuk membatalkan pasal ekspor PP 26/2023",kompas.com (26 Jun 2025)
2023-05-15,"PP 26/2023 tentang Pengelolaan Hasil Sedimentasi di Laut diteken Jokowi; diundangkan 29 Mei 2023",aturan-pembuka,"Membuka lagi pemanfaatan pasir laut termasuk ekspor bila kebutuhan dalam negeri terpenuhi",tempo.co (13 Jun 2023); kontan.co.id (26 Jul 2023)
2023-01-01,"Permen KP 33/2023: peraturan pelaksanaan PP 26/2023",aturan-teknis,"Hanya tahun yang terverifikasi",veritask.ai (13 Jun 2026)
2024-01-01,"Kepmen KP 6/2024 (harga patokan Rp186.000/m3; PNBP 35 persen) dan Kepmen KP 47/2024 (spesifikasi pasir ekspor)",aturan-teknis,"Persiapan teknis pembukaan ekspor",ulasan.co (22 Sep 2024); kompas.com (13 Sep 2024)
2024-08-29,"Permendag 20/2024 dan 21/2024 diundangkan; berlaku 30 hari kerja kemudian",aturan-pembuka,"Keran ekspor resmi dibuka lagi setelah dua dekade",kompas.com (13 Sep 2024); cnbcindonesia.com (23 Sep 2024)
2024-09-13,"Pemerintah mengumumkan resmi pembukaan ekspor pasir laut",peristiwa,"Banjir kritik DPR; dugaan tujuan Singapura",kompas.com (13 Sep 2024); nukilan.id (24 Sep 2024)
2025-01-01,"Permen KP 3/2025: perubahan pertama Permen KP 33/2023",aturan-teknis,"Hanya tahun yang terverifikasi",veritask.ai (13 Jun 2026)
2025-06-02,"Putusan MA 5/P/HUM/2025: Pasal 10 ayat 2-4 PP 26/2023 bertentangan dengan UU Kelautan; ekspor dilarang lagi",putusan,"Gugatan uji materi dosen Surakarta Muhammad Taufiq dikabulkan",kompas.com (26 Jun 2025); cnnindonesia.com (26 Jun 2025)
2026-03-06,"Permen KKP 6/2026: pasir laut hanya untuk kebutuhan dalam negeri; ketentuan rekomendasi ekspor dihapus",aturan-larangan,"Pengukuhan larangan ekspor di aturan pelaksana",veritask.ai (13 Jun 2026)
